Date,Open,High,Low,Close,Adj Close,Volume,tickt,updated_at
2017-10-09,182.789993,186.729996,182.029999,185.389999,185.389999,14087300,NVDA,2017-10-21 04:28:13
2017-10-10,191.429993,192.949997,187.259995,188.929993,188.929993,24371900,NVDA,2017-10-21 04:28:13
2017-10-11,189.600006,191.0,187.740005,190.940002,190.940002,13237700,NVDA,2017-10-21 04:28:13
2017-10-12,191.080002,193.089996,189.929993,191.029999,191.029999,13207300,NVDA,2017-10-21 04:28:13
2017-10-13,193.550003,195.0,191.649994,194.589996,194.589996,15718200,NVDA,2017-10-21 04:28:13
2017-10-16,195.800003,198.050003,193.240005,197.929993,197.929993,14416000,NVDA,2017-10-21 04:28:13
2017-10-17,197.089996,198.899994,196.350006,197.75,197.75,11964900,NVDA,2017-10-21 04:28:13
2017-10-18,198.110001,198.139999,193.320007,197.580002,197.580002,14182900,NVDA,2017-10-21 04:28:13
2017-10-19,194.440002,198.0,192.449997,197.800003,197.800003,14269300,NVDA,2017-10-21 04:28:13
2017-10-20,198.490005,199.589996,196.539993,196.899994,196.899994,11111300,NVDA,2017-10-21 04:28:13
